year,name,grid,positionOrder,points,position_change
2013,Australian Grand Prix,16,14,0.0,-2
2013,Malaysian Grand Prix,18,11,0.0,-7
2013,Chinese Grand Prix,16,13,0.0,-3
2013,Bahrain Grand Prix,15,14,0.0,-1
2013,Spanish Grand Prix,16,16,0.0,0
2013,Monaco Grand Prix,14,12,0.0,-2
2013,Canadian Grand Prix,3,14,0.0,11
2013,British Grand Prix,16,12,0.0,-4
2013,German Grand Prix,17,16,0.0,-1
2013,Hungarian Grand Prix,16,20,0.0,4
2013,Belgian Grand Prix,20,15,0.0,-5
2013,Italian Grand Prix,18,15,0.0,-3
2013,Singapore Grand Prix,16,13,0.0,-3
2013,Korean Grand Prix,17,12,0.0,-5
2013,Japanese Grand Prix,13,17,0.0,4
2013,Indian Grand Prix,15,16,0.0,1
2013,Abu Dhabi Grand Prix,15,15,0.0,0
2013,United States Grand Prix,9,8,4.0,-1
2013,Brazilian Grand Prix,13,21,0.0,8
2014,Australian Grand Prix,15,5,10.0,-10
2014,Malaysian Grand Prix,18,8,4.0,-10
2014,Bahrain Grand Prix,3,8,4.0,5
2014,Chinese Grand Prix,7,7,6.0,0
2014,Spanish Grand Prix,4,5,10.0,1
2014,Monaco Grand Prix,13,16,0.0,3
2014,Canadian Grand Prix,4,7,6.0,3
2014,Austrian Grand Prix,2,3,15.0,1
2014,British Grand Prix,14,2,18.0,-12
2014,German Grand Prix,2,2,18.0,0
2014,Hungarian Grand Prix,3,8,4.0,5
2014,Belgian Grand Prix,6,3,15.0,-3
2014,Italian Grand Prix,3,4,12.0,1
2014,Singapore Grand Prix,8,11,0.0,3
2014,Japanese Grand Prix,3,6,8.0,3
2014,Russian Grand Prix,3,3,15.0,0
2014,United States Grand Prix,3,5,10.0,2
2014,Brazilian Grand Prix,4,10,1.0,6
2014,Abu Dhabi Grand Prix,3,3,30.0,0
2015,Australian Grand Prix,0,18,0.0,18
2015,Malaysian Grand Prix,8,5,10.0,-3
2015,Chinese Grand Prix,5,6,8.0,1
2015,Bahrain Grand Prix,5,4,12.0,-1
2015,Spanish Grand Prix,4,4,12.0,0
2015,Monaco Grand Prix,16,14,0.0,-2
2015,Canadian Grand Prix,4,3,15.0,-1
2015,Austrian Grand Prix,6,5,10.0,-1
2015,British Grand Prix,4,5,10.0,1
2015,Hungarian Grand Prix,6,13,0.0,7
2015,Belgian Grand Prix,3,9,2.0,6
2015,Italian Grand Prix,6,4,12.0,-2
2015,Singapore Grand Prix,7,5,10.0,-2
2015,Japanese Grand Prix,3,5,10.0,2
2015,Russian Grand Prix,3,12,0.0,9
2015,United States Grand Prix,16,19,0.0,3
2015,Mexican Grand Prix,6,3,15.0,-3
2015,Brazilian Grand Prix,7,5,10.0,-2
2015,Abu Dhabi Grand Prix,6,13,0.0,7
2016,Australian Grand Prix,16,8,4.0,-8
2016,Bahrain Grand Prix,6,9,2.0,3
2016,Chinese Grand Prix,5,10,1.0,5
2016,Russian Grand Prix,2,4,12.0,2
2016,Spanish Grand Prix,7,5,10.0,-2
2016,Monaco Grand Prix,10,12,0.0,2
2016,Canadian Grand Prix,7,3,15.0,-4
2016,European Grand Prix,8,6,8.0,-2
2016,Austrian Grand Prix,7,9,2.0,2
2016,British Grand Prix,6,14,0.0,8
2016,Hungarian Grand Prix,10,9,2.0,-1
2016,German Grand Prix,7,9,2.0,2
2016,Belgian Grand Prix,8,8,4.0,0
2016,Italian Grand Prix,5,6,8.0,1
2016,Singapore Grand Prix,10,20,0.0,10
2016,Malaysian Grand Prix,11,5,10.0,-6
2016,Japanese Grand Prix,11,10,1.0,-1
2016,United States Grand Prix,8,16,0.0,8
2016,Mexican Grand Prix,8,8,4.0,0
2016,Brazilian Grand Prix,11,11,0.0,0
2016,Abu Dhabi Grand Prix,11,21,0.0,10
2017,Australian Grand Prix,3,3,15.0,0
2017,Chinese Grand Prix,3,6,8.0,3
2017,Bahrain Grand Prix,1,3,15.0,2
2017,Russian Grand Prix,3,1,25.0,-2
2017,Spanish Grand Prix,3,17,0.0,14
2017,Monaco Grand Prix,3,4,12.0,1
2017,Canadian Grand Prix,3,2,18.0,-1
2017,Azerbaijan Grand Prix,2,2,18.0,0
2017,Austrian Grand Prix,1,1,25.0,0
2017,British Grand Prix,9,2,18.0,-7
2017,Hungarian Grand Prix,3,3,15.0,0
2017,Belgian Grand Prix,3,5,10.0,2
2017,Italian Grand Prix,4,2,18.0,-2
2017,Singapore Grand Prix,6,3,15.0,-3
2017,Malaysian Grand Prix,5,5,10.0,0
2017,Japanese Grand Prix,6,4,12.0,-2
2017,United States Grand Prix,3,5,10.0,2
2017,Mexican Grand Prix,4,2,18.0,-2
2017,Brazilian Grand Prix,1,2,18.0,1
2017,Abu Dhabi Grand Prix,1,1,25.0,0
2018,Australian Grand Prix,15,8,4.0,-7
2018,Bahrain Grand Prix,3,2,18.0,-1
2018,Chinese Grand Prix,3,2,18.0,-1
2018,Azerbaijan Grand Prix,3,14,0.0,11
2018,Spanish Grand Prix,2,2,18.0,0
2018,Monaco Grand Prix,5,5,10.0,0
2018,Canadian Grand Prix,2,2,18.0,0
2018,French Grand Prix,2,7,6.0,5
2018,Austrian Grand Prix,1,19,0.0,18
2018,British Grand Prix,4,4,12.0,0
2018,German Grand Prix,2,2,18.0,0
2018,Hungarian Grand Prix,2,5,10.0,3
2018,Belgian Grand Prix,19,4,12.0,-15
2018,Italian Grand Prix,4,3,15.0,-1
2018,Singapore Grand Prix,4,4,12.0,0
2018,Russian Grand Prix,1,2,18.0,1
2018,Japanese Grand Prix,2,2,18.0,0
2018,United States Grand Prix,3,5,10.0,2
2018,Mexican Grand Prix,5,5,10.0,0
2018,Brazilian Grand Prix,3,5,10.0,2
2018,Abu Dhabi Grand Prix,2,5,10.0,3
2019,Australian Grand Prix,2,1,26.0,-1
2019,Bahrain Grand Prix,4,2,18.0,-2
2019,Chinese Grand Prix,1,2,18.0,1
2019,Azerbaijan Grand Prix,1,1,25.0,0
2019,Spanish Grand Prix,1,2,18.0,1
2019,Monaco Grand Prix,2,3,15.0,1
2019,Canadian Grand Prix,6,4,13.0,-2
2019,French Grand Prix,2,2,18.0,0
2019,Austrian Grand Prix,3,3,15.0,0
2019,British Grand Prix,1,2,18.0,1
2019,German Grand Prix,3,15,0.0,12
2019,Hungarian Grand Prix,2,8,4.0,6
2019,Belgian Grand Prix,4,3,15.0,-1
2019,Italian Grand Prix,3,2,18.0,-1
2019,Singapore Grand Prix,5,5,10.0,0
2019,Russian Grand Prix,4,2,18.0,-2
2019,Japanese Grand Prix,3,1,25.0,-2
2019,Mexican Grand Prix,6,3,15.0,-3
2020,Austrian Grand Prix,1,1,25.0,0
2019,United States Grand Prix,1,1,25.0,0
2019,Brazilian Grand Prix,4,20,0.0,16
2019,Abu Dhabi Grand Prix,20,4,12.0,-16
2020,Styrian Grand Prix,4,2,18.0,-2
2020,Hungarian Grand Prix,2,3,15.0,1
2020,British Grand Prix,2,11,0.0,9
2020,70th Anniversary Grand Prix,1,3,15.0,2
2020,Spanish Grand Prix,2,3,16.0,1
2020,Belgian Grand Prix,2,2,18.0,0
2020,Italian Grand Prix,2,5,10.0,3
2020,Tuscan Grand Prix,2,2,18.0,0
2020,Russian Grand Prix,3,1,26.0,-2
2020,Eifel Grand Prix,1,19,0.0,18
2020,Portuguese Grand Prix,2,2,18.0,0
2020,Emilia Romagna Grand Prix,1,2,18.0,1
2020,Turkish Grand Prix,9,14,0.0,5
2020,Bahrain Grand Prix,2,8,4.0,6
2020,Sakhir Grand Prix,1,8,4.0,7
2020,Abu Dhabi Grand Prix,2,2,18.0,0
2021,Bahrain Grand Prix,3,3,16.0,0
2021,Emilia Romagna Grand Prix,8,18,0.0,10
2021,Portuguese Grand Prix,1,3,16.0,2
2021,Spanish Grand Prix,3,3,15.0,0
2021,Monaco Grand Prix,3,19,0.0,16
2021,Azerbaijan Grand Prix,10,12,0.0,2
2021,French Grand Prix,3,4,12.0,1
2021,Styrian Grand Prix,5,3,15.0,-2
2021,Austrian Grand Prix,5,2,18.0,-3
2021,British Grand Prix,3,3,15.0,0
2021,Hungarian Grand Prix,2,16,0.0,14
2021,Belgian Grand Prix,13,12,0.0,-1
2021,Dutch Grand Prix,3,3,15.0,0
2021,Italian Grand Prix,19,3,15.0,-16
2021,Russian Grand Prix,16,5,10.0,-11
2021,Turkish Grand Prix,1,1,26.0,0
2021,United States Grand Prix,9,6,8.0,-3
2021,Mexico City Grand Prix,1,15,0.0,14
2021,S達o Paulo Grand Prix,1,3,15.0,2
2021,Qatar Grand Prix,6,20,0.0,14
2021,Saudi Arabian Grand Prix,2,3,15.0,1
2021,Abu Dhabi Grand Prix,6,6,8.0,0
2022,Bahrain Grand Prix,6,6,8.0,0
2022,Saudi Arabian Grand Prix,8,15,0.0,7
2022,Australian Grand Prix,12,8,4.0,-4
2022,Emilia Romagna Grand Prix,7,5,10.0,-2
2022,Miami Grand Prix,5,7,6.0,2
2022,Spanish Grand Prix,7,6,8.0,-1
2022,Monaco Grand Prix,12,9,2.0,-3
2022,Azerbaijan Grand Prix,15,11,0.0,-4
2022,Canadian Grand Prix,11,7,6.0,-4
2022,British Grand Prix,12,17,0.0,5
2022,Austrian Grand Prix,0,11,0.0,11
2022,French Grand Prix,11,14,0.0,3
2022,Hungarian Grand Prix,8,20,0.0,12
2022,Belgian Grand Prix,13,19,0.0,6
2022,Dutch Grand Prix,16,19,0.0,3
2022,Italian Grand Prix,15,13,0.0,-2
2022,Singapore Grand Prix,15,11,0.0,-4
2022,Japanese Grand Prix,12,15,0.0,3
2022,United States Grand Prix,7,19,0.0,12
2022,Mexico City Grand Prix,6,10,1.0,4
2022,S達o Paulo Grand Prix,14,9,2.0,-5
2022,Abu Dhabi Grand Prix,18,15,0.0,-3
2023,Bahrain Grand Prix,12,8,4.0,-4
2023,Saudi Arabian Grand Prix,14,18,0.0,4
2023,Australian Grand Prix,0,11,0.0,11
2023,Azerbaijan Grand Prix,13,18,0.0,5
2023,Miami Grand Prix,10,13,0.0,3
2023,Monaco Grand Prix,15,11,0.0,-4
2023,Spanish Grand Prix,16,19,0.0,3
2023,Canadian Grand Prix,14,10,1.0,-4
2023,Austrian Grand Prix,14,15,0.0,1
2023,British Grand Prix,20,12,0.0,-8
2023,Hungarian Grand Prix,7,12,0.0,5
2023,Belgian Grand Prix,13,12,0.0,-1
2023,Dutch Grand Prix,18,14,0.0,-4
2023,Italian Grand Prix,14,10,1.0,-4
2023,Singapore Grand Prix,16,17,0.0,1
2023,Japanese Grand Prix,16,20,0.0,4
2023,Qatar Grand Prix,9,8,4.0,-1
2023,United States Grand Prix,13,12,0.0,-1
2023,Mexico City Grand Prix,9,15,0.0,6
2023,S達o Paulo Grand Prix,18,16,0.0,-2
2023,Las Vegas Grand Prix,7,17,0.0,10
2023,Abu Dhabi Grand Prix,18,19,0.0,1
2024,Bahrain Grand Prix,16,19,0.0,3
2024,Saudi Arabian Grand Prix,16,17,0.0,1
2024,Australian Grand Prix,13,14,0.0,1
2024,Japanese Grand Prix,13,14,0.0,1
2024,Chinese Grand Prix,10,20,0.0,10
2024,Miami Grand Prix,16,16,0.0,0
2024,Emilia Romagna Grand Prix,16,18,0.0,2
2024,Monaco Grand Prix,17,13,0.0,-4
2024,Canadian Grand Prix,0,13,0.0,13
2024,Spanish Grand Prix,12,16,0.0,4
2024,Austrian Grand Prix,18,16,0.0,-2
2024,British Grand Prix,16,15,0.0,-1
2024,Hungarian Grand Prix,12,16,0.0,4
2024,Belgian Grand Prix,14,15,0.0,1
2024,Dutch Grand Prix,16,19,0.0,3
2024,Italian Grand Prix,19,16,0.0,-3
2024,Azerbaijan Grand Prix,16,16,0.0,0
2024,Singapore Grand Prix,19,16,0.0,-3
2024,United States Grand Prix,16,17,0.0,1
2024,Mexico City Grand Prix,15,14,0.0,-1
2024,S達o Paulo Grand Prix,11,13,0.0,2
2024,Las Vegas Grand Prix,19,18,0.0,-1
2024,Qatar Grand Prix,13,11,0.0,-2
2024,Abu Dhabi Grand Prix,9,18,0.0,9
